ContentsCode_kode,år_kode,geografi_kode,alder_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,alder_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,8,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,30-39 år,Andel sosialhjelpsmottakere i befolkningen,2.4
EliminatedValue,0,8,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,30-39 år,Antall sosialhjelpsmottakere,144
EliminatedValue,0,8,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,40-49 år,Andel sosialhjelpsmottakere i befolkningen,1.9
EliminatedValue,0,8,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,40-49 år,Antall sosialhjelpsmottakere,116
EliminatedValue,0,8,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,50-66 år,Andel sosialhjelpsmottakere i befolkningen,1
EliminatedValue,0,8,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,50-66 år,Antall sosialhjelpsmottakere,95
EliminatedValue,0,8,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,67 år og over,Andel sosialhjelpsmottakere i befolkningen,0.1
EliminatedValue,0,8,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,67 år og over,Antall sosialhjelpsmottakere,7
EliminatedValue,0,9,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,I alt,Andel sosialhjelpsmottakere i befolkningen,2.6
EliminatedValue,0,9,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,I alt,Antall sosialhjelpsmottakere,881
EliminatedValue,0,9,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,1.7
EliminatedValue,0,9,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,Under 20 år,Antall sosialhjelpsmottakere,18
EliminatedValue,0,9,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,20-24 år,Andel sosialhjelpsmottakere i befolkningen,3.8
EliminatedValue,0,9,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,20-24 år,Antall sosialhjelpsmottakere,111
EliminatedValue,0,9,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,25-29 år,Andel sosialhjelpsmottakere i befolkningen,4.1
EliminatedValue,0,9,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,25-29 år,Antall sosialhjelpsmottakere,127
EliminatedValue,0,9,4,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,30-39 år,Andel sosialhjelpsmottakere i befolkningen,3.8
EliminatedValue,0,9,4,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,30-39 år,Antall sosialhjelpsmottakere,274
EliminatedValue,0,9,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,40-49 år,Andel sosialhjelpsmottakere i befolkningen,2.8
EliminatedValue,0,9,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,40-49 år,Antall sosialhjelpsmottakere,190
EliminatedValue,0,9,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,50-66 år,Andel sosialhjelpsmottakere i befolkningen,1.8
EliminatedValue,0,9,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,50-66 år,Antall sosialhjelpsmottakere,147
EliminatedValue,0,9,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Nordre Aker,67 år og over,Andel sosialhjelpsmottakere i befolkningen,0.3
