ContentsCode_kode,år_kode,bydel_kode,sosialhjelpsmottakere og berørte_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bydel_navn,sosialhjelpsmottakere og berørte_navn,statistikkvariabel_navn,verdi
EliminatedValue,1,2,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Gamle Oslo,Barn av par,Antall,822
EliminatedValue,1,2,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Gamle Oslo,Barn av enslig forsørger,Antall,635
EliminatedValue,1,3,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grünerløkka,Sosialhjelpsmottakere i alt,Antall,2444
EliminatedValue,1,3,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grünerløkka,Berørte av sosialhjelp,Antall,3882
EliminatedValue,1,3,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grünerløkka,Berørte ektefeller/samboere,Antall,506
EliminatedValue,1,3,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grünerløkka,Berørte barn i alt,Antall,932
EliminatedValue,1,3,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grünerløkka,Barn av par,Antall,488
EliminatedValue,1,3,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grünerløkka,Barn av enslig forsørger,Antall,444
EliminatedValue,1,4,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Sagene,Sosialhjelpsmottakere i alt,Antall,1895
EliminatedValue,1,4,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Sagene,Berørte av sosialhjelp,Antall,2877
EliminatedValue,1,4,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Sagene,Berørte ektefeller/samboere,Antall,332
EliminatedValue,1,4,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Sagene,Berørte barn i alt,Antall,650
EliminatedValue,1,4,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Sagene,Barn av par,Antall,328
EliminatedValue,1,4,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Sagene,Barn av enslig forsørger,Antall,322
EliminatedValue,1,5,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel St.Hanshaugen,Sosialhjelpsmottakere i alt,Antall,1141
EliminatedValue,1,5,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel St.Hanshaugen,Berørte av sosialhjelp,Antall,1546
EliminatedValue,1,5,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel St.Hanshaugen,Berørte ektefeller/samboere,Antall,165
EliminatedValue,1,5,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel St.Hanshaugen,Berørte barn i alt,Antall,240
EliminatedValue,1,5,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel St.Hanshaugen,Barn av par,Antall,126
EliminatedValue,1,5,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel St.Hanshaugen,Barn av enslig forsørger,Antall,114
