ContentsCode_kode,År_kode,Geografi_kode,Aldersgrupper_kode,Måltall_kode,ContentsCode_navn,År_navn,Geografi_navn,Aldersgrupper_navn,Måltall_navn,verdi
EliminatedValue,0,8,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,10-12 år,Personer,1580
EliminatedValue,0,8,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,13-15 år,Personer,1503
EliminatedValue,0,8,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,16-17 år,Personer,1008
EliminatedValue,0,8,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,18-19 år,Personer,1043
EliminatedValue,0,8,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,20-22 år,Personer,1673
EliminatedValue,0,8,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,23-24 år,Personer,1228
EliminatedValue,0,8,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,25-29 år,Personer,3115
EliminatedValue,0,8,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,30-39 år,Personer,7233
EliminatedValue,0,8,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,40-49 år,Personer,6669
EliminatedValue,0,8,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,50-66 år,Personer,8163
EliminatedValue,0,8,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,67-74 år,Personer,1940
EliminatedValue,0,8,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,75-79 år,Personer,1154
EliminatedValue,0,8,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,80-84 år,Personer,1044
EliminatedValue,0,8,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,85-89 år,Personer,798
EliminatedValue,0,8,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,90 år +,Personer,439
EliminatedValue,0,9,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,Alder i alt,Personer,26322
EliminatedValue,0,9,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,0 år,Personer,501
EliminatedValue,0,9,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,1-2 år,Personer,964
EliminatedValue,0,9,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,3-5 år,Personer,1173
EliminatedValue,0,9,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,6-9 år,Personer,1296
EliminatedValue,0,9,5,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,10-12 år,Personer,844
EliminatedValue,0,9,6,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,13-15 år,Personer,729
EliminatedValue,0,9,7,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,16-17 år,Personer,504
EliminatedValue,0,9,8,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,18-19 år,Personer,527
EliminatedValue,0,9,9,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,20-22 år,Personer,786
EliminatedValue,0,9,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,23-24 år,Personer,625
EliminatedValue,0,9,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,25-29 år,Personer,2148
EliminatedValue,0,9,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,30-39 år,Personer,4970
EliminatedValue,0,9,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,40-49 år,Personer,3732
EliminatedValue,0,9,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,50-66 år,Personer,4247
EliminatedValue,0,9,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Bjerke,67-74 år,Personer,1133
